Ensemble Type,RMSE,MAPE,Models used,Training Time (s)
Averaging,4791.4,0.2082,SVR + LightGBM + GBM + XGBoost,0.33
Stacking,4769.24,0.2084,DecisionTree + SVR + LightGBM + GBM,21.56
Averaging,4730.0,0.2086,LightGBM + RandomForest + GBM,0.08
Stacking,4772.64,0.2087,KNN + DecisionTree + SVR + LightGBM + GBM,25.12
Averaging,4778.01,0.2091,SVR + LightGBM + RandomForest + GBM,0.33
Averaging,4782.41,0.2094,SVR + RandomForest + GBM,0.33
Stacking,4803.96,0.21,DecisionTree + LightGBM + GBM,3.26
Averaging,4843.74,0.21,SVR + LightGBM + XGBoost,0.32
Averaging,4854.52,0.2113,SVR + LightGBM + GBM,0.27
Averaging,4789.76,0.2116,DecisionTree + RandomForest + GBM + XGBoost,0.13
Averaging,4790.39,0.2116,DecisionTree + LightGBM + RandomForest + GBM + XGBoost,0.13
Averaging,4818.52,0.212,DecisionTree + SVR + RandomForest + GBM + XGBoost,0.39
Averaging,4813.33,0.2121,DecisionTree + SVR + LightGBM + RandomForest + GBM + XGBoost,0.42
Averaging,4853.81,0.2122,SVR + LightGBM + RandomForest,0.32
Averaging,4787.74,0.2136,KNN + LightGBM + RandomForest + GBM + XGBoost,1.22
Averaging,4868.66,0.2137,DecisionTree + SVR + GBM + XGBoost,0.34
Averaging,4825.48,0.2139,KNN + SVR + LightGBM + RandomForest + GBM + XGBoost,1.37
Averaging,4863.12,0.214,DecisionTree + SVR + LightGBM + GBM + XGBoost,0.34
Averaging,4840.13,0.214,DecisionTree + LightGBM + GBM + XGBoost,0.06
Averaging,4863.19,0.2142,DecisionTree + SVR + LightGBM + RandomForest + XGBoost,0.4
Averaging,4848.19,0.2143,DecisionTree + LightGBM + RandomForest + XGBoost,0.12
Averaging,4858.25,0.2146,DecisionTree + SVR + LightGBM + RandomForest + GBM,0.35
Averaging,4864.62,0.2153,DecisionTree + GBM + XGBoost,0.06
Averaging,4890.01,0.2154,DecisionTree + SVR + RandomForest + XGBoost,0.38
Averaging,4863.23,0.2156,DecisionTree + LightGBM + RandomForest + GBM,0.1
Stacking,4917.8,0.2158,KNN + DecisionTree + SVR + LightGBM,23.31
Averaging,4820.68,0.2158,KNN + RandomForest + GBM + XGBoost,1.2
Averaging,4857.61,0.2158,KNN + SVR + RandomForest + GBM + XGBoost,1.41
Stacking,4917.33,0.2158,KNN + SVR + LightGBM,22.16
Averaging,4888.37,0.2162,DecisionTree + RandomForest + XGBoost,0.11
Stacking,4927.73,0.2163,DecisionTree + SVR + LightGBM,18.88
Averaging,4831.06,0.2164,KNN + LightGBM + GBM + XGBoost,1.16
Averaging,4866.7,0.2168,KNN + DecisionTree + SVR + LightGBM + RandomForest + GBM + XGBoost,1.44
Stacking,4933.49,0.2169,KNN + DecisionTree + LightGBM,5.18
Averaging,4895.84,0.217,DecisionTree + RandomForest + GBM,0.09
Averaging,4885.84,0.217,KNN + SVR + LightGBM + RandomForest + XGBoost,1.53
Averaging,4915.85,0.2171,DecisionTree + SVR + RandomForest + GBM,0.34
Averaging,4890.54,0.2171,KNN + SVR + LightGBM + GBM + XGBoost,1.36
Averaging,4940.17,0.2173,DecisionTree + SVR + LightGBM + XGBoost,0.33
Averaging,4851.69,0.2176,KNN + DecisionTree + LightGBM + RandomForest + GBM + XGBoost,1.17
Averaging,4855.17,0.2177,KNN + LightGBM + RandomForest + XGBoost,1.14
Averaging,4942.6,0.2183,DecisionTree + LightGBM + XGBoost,0.05
Averaging,4904.15,0.2184,KNN + SVR + LightGBM + RandomForest + GBM,1.42
Averaging,4954.98,0.2186,DecisionTree + SVR + LightGBM + GBM,0.28
Averaging,4890.96,0.2188,KNN + DecisionTree + SVR + RandomForest + GBM + XGBoost,1.38
Averaging,4930.42,0.2189,KNN + SVR + GBM + XGBoost,1.35
Averaging,4869.35,0.219,KNN + LightGBM + RandomForest + GBM,1.18
Averaging,4959.64,0.2191,DecisionTree + SVR + LightGBM + RandomForest,0.33
Averaging,4874.6,0.2194,KNN + DecisionTree + RandomForest + GBM + XGBoost,1.17
Averaging,4926.68,0.2196,KNN + DecisionTree + SVR + LightGBM + GBM + XGBoost,1.34
Averaging,4889.2,0.2199,KNN + GBM + XGBoost,1.95
Averaging,4951.88,0.2201,KNN + SVR + RandomForest + XGBoost,1.42
Averaging,4938.05,0.2202,DecisionTree + LightGBM + GBM,0.04
Averaging,4932.66,0.2203,KNN + DecisionTree + SVR + LightGBM + RandomForest + XGBoost,1.39
Averaging,4956.28,0.2203,DecisionTree + LightGBM + RandomForest,0.08
Averaging,4903.44,0.2204,KNN + DecisionTree + LightGBM + GBM + XGBoost,1.12
Averaging,5015.7,0.2206,DecisionTree + SVR + XGBoost,0.31
Averaging,4917.98,0.2212,KNN + DecisionTree + LightGBM + RandomForest + XGBoost,1.17
Averaging,4946.07,0.2212,KNN + DecisionTree + SVR + LightGBM + RandomForest + GBM,1.29
Averaging,4978.75,0.2213,KNN + SVR + LightGBM + XGBoost,1.42
Averaging,4928.96,0.2217,KNN + RandomForest + XGBoost,1.12
Averaging,5014.83,0.2221,DecisionTree + SVR + GBM,0.27
Averaging,4931.9,0.2222,KNN + DecisionTree + LightGBM + RandomForest + GBM,1.14
Averaging,4990.65,0.2224,KNN + SVR + LightGBM + GBM,1.25
Averaging,4968.24,0.2224,KNN + DecisionTree + SVR + GBM + XGBoost,1.36
Averaging,4984.72,0.2226,KNN + SVR + RandomForest + GBM,1.36
Averaging,4927.9,0.2228,KNN + RandomForest + GBM,1.18
Averaging,4956.35,0.2232,KNN + LightGBM + XGBoost,1.14
Averaging,5045.79,0.2232,DecisionTree + SVR + RandomForest,0.38
Averaging,4987.24,0.2233,KNN + DecisionTree + SVR + RandomForest + XGBoost,1.48
Averaging,5017.4,0.224,KNN + SVR + LightGBM + RandomForest,1.33
Averaging,4958.41,0.224,KNN + DecisionTree + GBM + XGBoost,1.15
