,City,Town,Neighborhood,Apartment Type,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
55,İstanbul,Beşiktaş,Levazım,Daire,Daire,10,171 m2,2 + 1,15. Kat,False,2.0,İkinci El,VRV,Doğalgaz,220000
56,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,179 m2,2 + 1,8. Kat,False,2.0,İkinci El,VRV,Doğalgaz,190000
57,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,350 m2,4 + 1,Ara Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,320000
58,İstanbul,Kağıthane,Sultan Selim,Residence,Residence,14,400 m2,5 + 1,21 ve üzeri,False,3.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,295000
59,İstanbul,Beşiktaş,Levazım,Residence,Residence,Sıfır,349 m2,4 + 1,21 ve üzeri,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,285000
60,İstanbul,Beşiktaş,Gayrettepe,Residence,Residence,10,148 m2,2 + 1,3. Kat,True,2.0,İkinci El,Merkezi,Doğalgaz,110000
61,İstanbul,Beykoz,Acarlar,Villa,Villa,10,950 m2,6 + 2,,False,6.0,İkinci El,Yerden Isıtma,Doğalgaz,540000
62,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,450 m2,4 + 1,Ara Kat,True,4.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,325000
63,İstanbul,Beşiktaş,Levazım,Residence,Residence,10,180 m2,2 + 1,Yüksek Giriş,False,2.0,İkinci El,VRV,Doğalgaz,190000
64,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,240 m2,3 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,192000
65,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,221 m2,3 + 1,21 ve üzeri,False,2.0,Sıfır,Merkezi (Pay Ölçer),,220000
66,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,221 m2,2 + 1,15. Kat,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,220000
67,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,349 m2,4 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,240000
68,İstanbul,Beşiktaş,Nisbetiye,Residence,Residence,Sıfır,1.220 m2,10 + 2,21 ve üzeri,False,6.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,1250000
