,House Type,House Age,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price,Rooms,Living Rooms,House Size m2,Floor Level,Neighborhood Grouped,Town Grouped,City Grouped
7678,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,25000,3,1,160.0,1.0,İstanbul - Bahçelievler - Bahçelievler,İstanbul - Bahçelievler,İstanbul
7679,Daire,3,False,4.0,İkinci El,Kombi,Doğalgaz,70000,4,1,200.0,20.0,Other,İstanbul - Beşiktaş,İstanbul
7680,Daire,9,False,3.0,İkinci El,Kombi,Doğalgaz,200000,3,2,220.0,20.0,Other,İstanbul - Sarıyer,İstanbul
7681,Daire,20,True,2.0,İkinci El,Kombi,Doğalgaz,1500,4,1,100.0,2.5,Other,Other,Konya
7682,Residence,1,True,2.0,İkinci El,Merkezi (Pay Ölçer),Bilinmiyor,740000,2,1,130.0,0.0,Other,Muğla - Bodrum,Muğla
7683,Villa,16,False,4.0,İkinci El,Kombi,Doğalgaz,110000,6,2,430.0,2.5,İstanbul - Sarıyer - Zekeriyaköy,İstanbul - Sarıyer,İstanbul
7684,Villa,15,True,1.0,İkinci El,Kombi,Doğalgaz,65000,2,1,140.0,2.5,Other,Other,İstanbul
7685,Müstakil Ev,0,False,1.0,Sıfır,Klima,Bilinmiyor,10000,1,1,355.0,2.5,Other,Other,İzmir
7686,Daire,25,True,1.0,İkinci El,Merkezi,Elektrik,7250,1,1,62.0,3.0,Other,Denizli - Pamukkale,Denizli
7687,Daire,26,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,150.0,2.5,Other,Other,Balıkesir
7688,Daire,4,False,2.0,İkinci El,Kombi,Doğalgaz,75000,3,1,168.0,6.0,Other,İstanbul - Kadıköy,İstanbul
7689,Daire,11,False,2.0,İkinci El,Kombi,Doğalgaz,50000,3,1,125.0,0.0,Other,İstanbul - Beykoz,İstanbul
7690,Daire,0,False,1.0,Sıfır,Yerden Isıtma,Bilinmiyor,23000,1,1,69.0,3.0,Other,Ankara - Yenimahalle,Ankara
7691,Daire,5,True,2.0,İkinci El,Klima,Bilinmiyor,31500,2,1,130.0,4.0,Other,Antalya - Alanya,Antalya
7692,Villa,1,True,2.0,Sıfır,Klima,Elektrik,6000,3,1,200.0,2.5,Other,Other,Antalya
7693,Daire,45,False,1.0,Sıfır,Merkezi,Doğalgaz,27500,3,1,120.0,7.0,Other,Ankara - Çankaya,Ankara
7694,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,27000,2,1,90.0,2.5,Other,Other,İstanbul
7695,Daire,2,False,2.0,İkinci El,Kombi,Doğalgaz,52000,2,1,125.0,0.5,Other,İstanbul - Beyoğlu,İstanbul
7696,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,22000,3,1,145.0,6.0,Other,İzmir - Karşıyaka,İzmir
7697,Villa,5,True,1.0,İkinci El,Klima,Elektrik,6500,2,1,100.0,2.5,Other,Muğla - Köyceğiz,Muğla
7698,Daire,30,True,1.0,İkinci El,Kombi,Doğalgaz,15500,3,1,130.0,1.0,Other,Ankara - Yenimahalle,Ankara
7699,Daire,0,False,1.0,Sıfır,Merkezi,Doğalgaz,25000,2,1,100.0,5.0,Other,Tekirdağ - Çorlu,Tekirdağ
7700,Daire,0,True,1.0,Sıfır,Yerden Isıtma,Doğalgaz,13000,2,1,65.0,5.0,Other,Bursa - Nilüfer,Bursa
7701,Villa,11,False,2.0,İkinci El,Kombi,Bilinmiyor,65000,4,1,500.0,0.0,Other,Other,İzmir
7702,Villa,11,False,5.0,İkinci El,Klima,Bilinmiyor,180000,5,2,440.0,0.0,Muğla - Bodrum - Yalıkavak,Muğla - Bodrum,Muğla
7703,Daire,10,True,2.0,İkinci El,Kombi,Doğalgaz,20000,2,1,110.0,20.0,Other,Other,Yalova
7704,Müstakil Ev,10,False,2.0,İkinci El,Klima,Elektrik,25000,4,1,160.0,2.5,Other,Muğla - Köyceğiz,Muğla
7705,Daire,11,True,1.0,İkinci El,Kombi,Bilinmiyor,30000,2,1,110.0,2.0,Other,İstanbul - Şişli,İstanbul
7706,Daire,30,True,2.0,İkinci El,Klima,Elektrik,30000,3,1,145.0,1.0,Other,Antalya - Muratpaşa,Antalya
7707,Daire,2,False,1.0,İkinci El,Klima,Elektrik,25000,2,1,70.0,20.0,Other,Aydın - Didim,Aydın
7708,Villa,3,False,4.0,İkinci El,Kombi,Doğalgaz,135000,4,2,430.0,2.5,Other,İstanbul - Sarıyer,İstanbul
7709,Daire,15,True,1.0,İkinci El,Kombi,Doğalgaz,19500,3,1,130.0,-1.0,Other,Ankara - Keçiören,Ankara
7710,Daire,0,False,2.0,Sıfır,Merkezi (Pay Ölçer),Bilinmiyor,40000,3,1,145.0,3.0,Other,Antalya - Manavgat,Antalya
7711,Daire,1,False,2.0,Sıfır,Kombi,Doğalgaz,17000,3,1,120.0,3.0,Other,Other,Çanakkale
7712,Daire,25,False,1.0,Sıfır,Kombi,Doğalgaz,25000,2,1,80.0,0.5,Other,Ankara - Yenimahalle,Ankara
7713,Daire,11,False,1.0,İkinci El,Kombi,Doğalgaz,15000,4,1,300.0,7.0,Other,Other,Other
7714,Daire,12,False,3.0,İkinci El,Merkezi,Doğalgaz,210000,4,2,300.0,5.0,Other,İstanbul - Beşiktaş,İstanbul
7715,Daire,0,False,1.0,İkinci El,Kombi,Bilinmiyor,11000,1,1,55.0,1.0,Other,Other,Bursa
7716,Residence,0,False,5.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,260000,4,2,322.0,4.0,Other,İstanbul - Üsküdar,İstanbul
7717,Daire,0,False,2.0,Sıfır,Kombi,Doğalgaz,15000,3,1,160.0,2.5,Other,İzmir - Menemen,İzmir
7718,Daire,10,False,1.0,İkinci El,Kombi,Bilinmiyor,16000,2,1,75.0,1.0,Other,Other,Çanakkale
7719,Daire,31,False,1.0,İkinci El,Isıtma Yok,Elektrik,16500,2,1,95.0,3.0,Other,İzmir - Konak,İzmir
7720,Daire,9,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,28000,4,1,180.0,5.0,Other,Ankara - Yenimahalle,Ankara
7721,Daire,5,True,2.0,Sıfır,Kombi,Doğalgaz,27500,3,1,250.0,3.0,Other,Balıkesir - Edremit,Balıkesir
7722,Daire,1,True,1.0,Sıfır,Merkezi,Doğalgaz,25000,1,1,70.0,1.0,Other,İstanbul - Kağıthane,İstanbul
7723,Daire,20,True,1.0,İkinci El,Kombi,Doğalgaz,15250,3,1,135.0,0.0,Ankara - Keçiören - Ayvalı,Ankara - Keçiören,Ankara
7725,Daire,5,False,2.0,İkinci El,Klima,Bilinmiyor,27000,2,1,130.0,2.0,Other,Other,Antalya
7726,Daire,7,False,2.0,Sıfır,Yerden Isıtma,Bilinmiyor,140000,3,1,223.0,12.0,Other,İstanbul - Kadıköy,İstanbul
7727,Daire,0,True,1.0,Sıfır,Kombi,Doğalgaz,11000,1,1,52.0,2.5,Other,İzmir - Menemen,İzmir
7728,Daire,30,False,2.0,İkinci El,Merkezi,Doğalgaz,75000,3,1,140.0,-3.0,Other,İstanbul - Kadıköy,İstanbul
7729,Daire,0,False,1.0,Sıfır,Yerden Isıtma,Doğalgaz,17000,1,1,55.0,2.5,Ankara - Gölbaşı - Taşpınar,Ankara - Gölbaşı,Ankara
7730,Villa,0,False,2.0,Sıfır,Klima,Elektrik,31000,3,1,130.0,2.5,Other,Antalya - Kemer,Antalya
7731,Daire,2,False,2.0,İkinci El,Kombi,Bilinmiyor,33000,4,1,180.0,2.0,Other,Antalya - Döşemealtı,Antalya
7732,Daire,0,False,1.0,Sıfır,Yerden Isıtma,Doğalgaz,41000,2,1,110.0,4.0,Other,İstanbul - Eyüpsultan,İstanbul
7733,Daire,5,True,1.0,İkinci El,Klima,Bilinmiyor,14000,1,1,70.0,8.0,Other,İzmir - Çiğli,İzmir
7734,Daire,11,True,2.0,İkinci El,Kombi,Doğalgaz,175000,3,1,220.0,5.0,Other,Other,Düzce
7736,Daire,5,True,1.0,İkinci El,Klima,Bilinmiyor,25000,2,1,115.0,0.0,Other,Aydın - Didim,Aydın
7737,Villa,16,False,4.0,İkinci El,Kombi,Doğalgaz,75000,5,1,300.0,2.5,Other,Kocaeli - İzmit,Kocaeli
7738,Daire,0,False,2.0,İkinci El,Kombi,Bilinmiyor,18000,2,1,105.0,6.0,Other,Zonguldak - Merkez,Zonguldak
7739,Daire,11,False,2.0,İkinci El,Kombi,Doğalgaz,30000,3,1,148.0,3.0,Other,Other,Manisa
7740,Daire,0,False,1.0,Sıfır,Yerden Isıtma,Doğalgaz,12000,2,0,55.0,0.5,Other,Balıkesir - Bandırma,Balıkesir
7741,Daire,21,False,1.0,İkinci El,Kombi,Bilinmiyor,9500,3,1,160.0,3.0,Other,Other,Kastamonu
7742,Daire,20,True,1.0,İkinci El,Klima,Bilinmiyor,450000,1,1,75.0,0.0,Muğla - Bodrum - Gündoğan,Muğla - Bodrum,Muğla
7743,Daire,3,True,1.0,İkinci El,Merkezi,Doğalgaz,15000,2,1,75.0,2.5,Other,Other,Kayseri
7744,Daire,35,False,1.0,İkinci El,Kombi,Doğalgaz,23000,3,1,115.0,20.0,Other,İstanbul - Güngören,İstanbul
7745,Daire,15,True,1.0,İkinci El,Kombi,Doğalgaz,20000,2,1,85.0,-1.0,Other,İstanbul - Şişli,İstanbul
7746,Daire,1,False,1.0,Sıfır,Kombi,Doğalgaz,2900000,3,1,150.0,3.0,Other,Other,Konya
7747,Villa,21,False,4.0,İkinci El,Kombi,Bilinmiyor,32000,4,2,500.0,2.5,Other,Other,Kocaeli
7748,Daire,20,False,1.0,İkinci El,Kombi,Doğalgaz,15000,3,1,160.0,6.0,Other,Edirne - Merkez,Edirne
7749,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,10000,3,1,150.0,6.0,Other,Other,Samsun
7750,Daire,10,True,1.0,İkinci El,Kombi,Doğalgaz,17000,2,1,100.0,2.0,Other,Gaziantep - Şahinbey,Gaziantep
7751,Villa,0,False,3.0,Sıfır,Yerden Isıtma,Doğalgaz,45000,4,1,260.0,2.5,Other,Kocaeli - Gölcük,Kocaeli
7752,Daire,40,True,2.0,İkinci El,Kombi,Doğalgaz,19999,2,1,100.0,2.5,Other,İstanbul - Fatih,İstanbul
7753,Daire,0,False,1.0,Sıfır,Klima,Elektrik,10000,2,1,85.0,4.0,Other,Other,Antalya
7754,Daire,0,True,1.0,Sıfır,Kombi,Doğalgaz,12500,1,1,65.0,2.0,Samsun - Atakum - Körfez,Samsun - Atakum,Samsun
7755,Daire,25,False,1.0,İkinci El,Kombi,Doğalgaz,17000,3,1,135.0,2.5,Ankara - Keçiören - Aşağı Eğlence,Ankara - Keçiören,Ankara
7756,Villa,0,False,4.0,İkinci El,Yerden Isıtma,Bilinmiyor,75000,4,1,450.0,2.5,Other,Aydın - Kuşadası,Aydın
7757,Villa,0,False,4.0,İkinci El,Yerden Isıtma,Bilinmiyor,75000,4,1,450.0,2.5,Other,Aydın - Kuşadası,Aydın
7758,Daire,7,True,1.0,İkinci El,Kombi,Doğalgaz,7000,1,1,50.0,0.5,Other,Denizli - Pamukkale,Denizli
7759,Daire,12,True,1.0,İkinci El,Kombi,Doğalgaz,15000,1,1,60.0,0.5,Other,Antalya - Konyaaltı,Antalya
7760,Daire,6,True,1.0,İkinci El,Kombi,Doğalgaz,14000,1,1,75.0,2.0,Other,Düzce - Merkez,Düzce
7761,Daire,12,True,2.0,İkinci El,Kombi,Doğalgaz,22000,3,1,190.0,7.0,Other,Mersin(İçel) - Mezitli,Mersin(İçel)
7762,Daire,4,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,18000,1,1,80.0,0.0,Other,İstanbul - Fatih,İstanbul
7763,Villa,25,False,4.0,İkinci El,Kombi,Doğalgaz,160000,5,2,400.0,2.5,Other,İstanbul - Bakırköy,İstanbul
7764,Villa,5,True,4.0,İkinci El,Klima,Elektrik,70000,5,1,500.0,2.5,Other,Antalya - Muratpaşa,Antalya
7765,Daire,15,True,2.0,İkinci El,Kombi,Doğalgaz,40000,3,1,140.0,5.0,Other,İstanbul - Fatih,İstanbul
7766,Daire,3,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,26000,2,1,103.0,2.5,Other,Muğla - Menteşe,Muğla
